aamoo,2,A
bemaadzid,7,A
bwi,5,A
bwi,5,I
bzhiki,3,A
dehmin,1,I
ezaawaabgoniig,7,I
giigoonh,C,A
gimaa,2,A
ginii,2,A
jiimaan,1,I
ki,5,I
kik,4a,A
kiwenziinh,C,A
kwe,3,A
mkak,4a,I
mkoons,1,A
mnidoo,2,A
mookmaan,1,I
mtigmizh,5,A
mzise,2,A
niib,5,A
Nimkii,2,A
nini,3,A
Nishnaabe,2,A
nit,5,I
nninj,5,I
nzhaghay,6,A
nzid,6,I
pin,5,A
pwaagan,1,A
sab,5,A
sabaab,5,I
sin,5,I
waagosh,1,A
waawaashkeshi,3,A
wesiinh,C,A
wiigwaam,1,I
zenbaa,2,I
zhangweshi,3,A
zhgaag,4b,A
zhgaagwanzh,5,A
zhiishiib,1,A
zhngob,5,A
zhoon'yaa,2,I
ziibi,3,I
